Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/v2) | checkpoint every 250000 steps
Step 151511/5000000 | Win rate (rollout): 0.31 | Loss: 0.055
Step 152023/5000000 | Win rate (rollout): 0.14 | Loss: -0.000
Step 152541/5000000 | Win rate (rollout): 0.22 | Loss: 0.021
Step 153053/5000000 | Win rate (rollout): 0.38 | Loss: 0.043
Step 153572/5000000 | Win rate (rollout): 0.42 | Loss: -0.008
Step 154084/5000000 | Win rate (rollout): 0.27 | Loss: 0.032
Step 154596/5000000 | Win rate (rollout): 0.31 | Loss: 0.044
Step 155108/5000000 | Win rate (rollout): 0.62 | Loss: 0.015
Step 155624/5000000 | Win rate (rollout): 0.44 | Loss: 0.004
Step 156136/5000000 | Win rate (rollout): 0.30 | Loss: 0.028
Step 156653/5000000 | Win rate (rollout): 0.08 | Loss: 0.024
Step 157168/5000000 | Win rate (rollout): 0.43 | Loss: 0.067
Step 157683/5000000 | Win rate (rollout): 0.62 | Loss: 0.044
Step 158202/5000000 | Win rate (rollout): 0.42 | Loss: 0.026
Step 158714/5000000 | Win rate (rollout): 0.60 | Loss: 0.015
Step 159228/5000000 | Win rate (rollout): 0.31 | Loss: -0.009
Step 159741/5000000 | Win rate (rollout): 0.43 | Loss: 0.084
Step 160253/5000000 | Win rate (rollout): 0.58 | Loss: 0.022
Step 160772/5000000 | Win rate (rollout): 0.31 | Loss: 0.024
Step 161284/5000000 | Win rate (rollout): 0.73 | Loss: 0.058
Step 161796/5000000 | Win rate (rollout): 0.42 | Loss: 0.077
Step 162309/5000000 | Win rate (rollout): 0.29 | Loss: 0.049
Step 162821/5000000 | Win rate (rollout): 0.50 | Loss: 0.013
Step 163333/5000000 | Win rate (rollout): 0.10 | Loss: 0.005
Step 163845/5000000 | Win rate (rollout): 0.30 | Loss: 0.005
Step 164357/5000000 | Win rate (rollout): 0.46 | Loss: 0.025
Step 164872/5000000 | Win rate (rollout): 0.22 | Loss: 0.021
Step 165384/5000000 | Win rate (rollout): 0.20 | Loss: 0.015
Step 165896/5000000 | Win rate (rollout): 0.35 | Loss: 0.053
Step 166411/5000000 | Win rate (rollout): 0.14 | Loss: 0.029
Step 166927/5000000 | Win rate (rollout): 0.43 | Loss: 0.042
Step 167439/5000000 | Win rate (rollout): 0.08 | Loss: 0.001
Step 167955/5000000 | Win rate (rollout): 0.33 | Loss: 0.013
Step 168473/5000000 | Win rate (rollout): 0.42 | Loss: 0.079
Step 168989/5000000 | Win rate (rollout): 0.42 | Loss: 0.031
Step 169501/5000000 | Win rate (rollout): 0.31 | Loss: 0.009
Step 170013/5000000 | Win rate (rollout): 0.33 | Loss: 0.053
Step 170525/5000000 | Win rate (rollout): 0.53 | Loss: 0.045
Step 171037/5000000 | Win rate (rollout): 0.47 | Loss: 0.034
Step 171549/5000000 | Win rate (rollout): 0.14 | Loss: 0.019
Step 172061/5000000 | Win rate (rollout): 0.33 | Loss: 0.025
Step 172580/5000000 | Win rate (rollout): 0.50 | Loss: 0.009
Step 173092/5000000 | Win rate (rollout): 0.15 | Loss: 0.056
Step 173604/5000000 | Win rate (rollout): 0.50 | Loss: 0.051
Step 174116/5000000 | Win rate (rollout): 0.33 | Loss: 0.018
Step 174628/5000000 | Win rate (rollout): 0.75 | Loss: 0.017
Step 175142/5000000 | Win rate (rollout): 0.30 | Loss: 0.071
Step 175654/5000000 | Win rate (rollout): 0.43 | Loss: -0.006
Step 176169/5000000 | Win rate (rollout): 0.33 | Loss: 0.018
Step 176681/5000000 | Win rate (rollout): 0.83 | Loss: 0.039
Step 177193/5000000 | Win rate (rollout): 0.44 | Loss: 0.023
Step 177705/5000000 | Win rate (rollout): 0.50 | Loss: 0.031
Step 178217/5000000 | Win rate (rollout): 0.40 | Loss: 0.041
Step 178729/5000000 | Win rate (rollout): 0.64 | Loss: 0.009
Step 179241/5000000 | Win rate (rollout): 0.55 | Loss: 0.039
Step 179753/5000000 | Win rate (rollout): 0.42 | Loss: 0.019
Step 180271/5000000 | Win rate (rollout): 0.57 | Loss: 0.042
Step 180783/5000000 | Win rate (rollout): 0.21 | Loss: 0.040
Step 181300/5000000 | Win rate (rollout): 0.62 | Loss: 0.028
Step 181818/5000000 | Win rate (rollout): 0.42 | Loss: 0.030
Step 182330/5000000 | Win rate (rollout): 0.54 | Loss: 0.043
Step 182843/5000000 | Win rate (rollout): 0.38 | Loss: -0.001
